1;345;7
2;345;62
3;345;117
4;345;172
5;345;227
6;345;282
7;345;337
8;290;337
9;235;337
10;180;337
11;125;337
12;70;337
13;15;337
14;15;392
15;15;447
16;70;447
17;125;447
18;180;447
19;235;447
20;290;447
21;345;447
22;345;502
23;345;557
24;345;612
25;345;667
26;345;722
27;345;777
28;400;777
29;455;777
30;455;722
31;455;667
32;455;612
33;455;557
34;455;502
35;455;447
36;510;447
37;565;447
38;620;447
39;675;447
40;730;447
41;785;447
42;785;392
43;785;337
44;730;337
45;675;337
46;620;337
47;565;337
48;510;337
49;455;337
50;455;282
51;455;227
52;455;172
53;455;117
54;455;62
55;455;7
56;400;7
